sequence_id,kingdom,phylum,class,order,family,genus,species,confidence,method,predicted_label
N.meningitidis.1,Root,Bacteria,"""Actinobacteria""",Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,5.23,supervised_taxonomy,"Root;Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces"
P.acnes.1,Root,Bacteria,"""Actinobacteria""",Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,5.23,supervised_taxonomy,"Root;Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces"
P.aeruginosa.1,Root,Bacteria,"""Actinobacteria""",Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,5.23,supervised_taxonomy,"Root;Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces"
P.aeruginosa.2,Root,Bacteria,"""Actinobacteria""",Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,5.23,supervised_taxonomy,"Root;Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces"
P.gingivalis.1,Root,Bacteria,"""Actinobacteria""",Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,5.23,supervised_taxonomy,"Root;Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces"
R.sphaeroides.1,Root,Bacteria,"""Actinobacteria""",Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,5.23,supervised_taxonomy,"Root;Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces"
S.aureus.1,Root,Bacteria,"""Actinobacteria""",Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,5.23,supervised_taxonomy,"Root;Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces"
S.aureus.5,Root,Bacteria,"""Actinobacteria""",Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,5.23,supervised_taxonomy,"Root;Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces"
S.epidermidis.1,Root,Bacteria,"""Actinobacteria""",Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,5.23,supervised_taxonomy,"Root;Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces"
S.epidermidis.2,Root,Bacteria,"""Actinobacteria""",Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,5.23,supervised_taxonomy,"Root;Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces"
S.epidermidis.5,Root,Bacteria,"""Actinobacteria""",Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,5.23,supervised_taxonomy,"Root;Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces"
S.agalactiae.1,Root,Bacteria,"""Actinobacteria""",Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,5.23,supervised_taxonomy,"Root;Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces"
S.mutans.1,Root,Bacteria,"""Actinobacteria""",Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,5.23,supervised_taxonomy,"Root;Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces"
S.pneumoniae.1,Root,Bacteria,"""Actinobacteria""",Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,5.23,supervised_taxonomy,"Root;Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces"
